user_id,recomendations
76561198081434413,"['DARK SOULS™ II', 'DARK SOULS™: Prepare To Die™ Edition', 'The Forest', 'DARK SOULS™ III']"
centor111,"['Rust', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'DayZ']"
Lord_Marius,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Left 4 Dead 2']"
FinalBreakers,"['No More Room in Hell', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
ClickOnThisLinkToAddMe,"['Borderlands 2', 'Saints Row: The Third', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
Chinnigan,"['Goat Simulator', 'Team Fortress 2', 'Squad', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
dannysfatass,"['Unturned', 'Warframe', 'Rocket League®', 'Team Fortress 2', 'Call of Duty®: Black Ops III']"
jbbuena,"['Tomb Raider', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
76561198072431907,"['Sonic &amp; All-Stars Racing Transformed', 'Team Fortress 2', ""Garry's Mod"", 'Unturned', 'The Forest']"
Ch3nst3r,"['Borderlands: The Pre-Sequel', 'Team Fortress 2', 'Borderlands 2', 'Counter-Strike: Global Offensive']"
76561198087135044,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
10101010101010109,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'Rust']"
thepedrochamp,"['The Binding of Isaac: Rebirth', 'Banished', 'The Binding of Isaac', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
auschandler,"['Team Fortress 2', 'Counter-Strike: Global Offensive', 'PlanetSide 2', ""Garry's Mod""]"
changingmags,"['Rust', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'DayZ']"
76561198026886919,"['Warframe', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
ChaoticRampage,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198054761819,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
Seralox,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198033883963,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198057800009,"['Gang Beasts', 'Castle Crashers®', 'Counter-Strike: Global Offensive', 'FlatOut: Ultimate Carnage', 'Gunpoint']"
76561198064600203,"['Borderlands 2', 'Mad Max', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
BirdieZ,"['Dirty Bomb®', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
topkeklord7,"[""Dragon's Dogma: Dark Arisen"", 'Black Mesa', 'E.Y.E: Divine Cybermancy', 'Team Fortress 2']"
76561198071117635,"[""Sid Meier's Civilization® V"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
djcharles02,"['Counter-Strike: Global Offensive', 'Team Fortress 2', 'Super Hexagon', ""Garry's Mod""]"
76561198039506014,"['METAL GEAR SOLID V: GROUND ZEROES', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198088838638,"['SpeedRunners', 'Unturned', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
76561198042441420,"['Medieval II: Total War™', 'Need For Speed: Hot Pursuit', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
76561198062406902,"['Rust', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'DayZ']"
76561198072346840,"['Warframe', 'Trove', 'Team Fortress 2', 'AdVenture Capitalist']"
11925219096,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Left 4 Dead 2']"
76561198064696304,"['DayZ', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust', 'Team Fortress 2']"
pokeylegs,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
evankohgj,"['Mount &amp; Blade: Warband', 'DARK SOULS™ II', 'DARK SOULS™: Prepare To Die™ Edition', 'Team Fortress 2']"
76561198081284814,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
76561198044585909,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
76561198093166360,"['Planetbase', 'Fallout 4 Season Pass', 'Heroes &amp; Generals', 'Fallout: New Vegas']"
chiefnemes,"['Clicker Heroes', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'AdVenture Capitalist']"
76561198091066992,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198084705916,"['Hotline Miami 2: Wrong Number', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Hotline Miami']"
76561198065949365,"['Rocket League®', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
buttmutt,"['Danganronpa: Trigger Happy Havoc', 'I am Setsuna', 'Terraria', 'Fallout 4', 'Counter-Strike Nexon: Zombies']"
76561198075850578,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198067285046,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
chpmnksnpr,"['Unturned', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
Elchiruuuu114,"['The Walking Dead', 'Team Fortress 2', 'Left 4 Dead 2', 'The Walking Dead: Season 2', 'Terraria']"
420BlzeIT,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198085916165,"['Left 4 Dead 2', 'Team Fortress 2', 'Portal', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
76561197994404698,"['Team Fortress 2', 'PlanetSide 2', 'Counter-Strike: Global Offensive', 'BioShock Infinite', ""Garry's Mod""]"
chlamydiaabbo,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198092369007,"['Unturned', 'Terraria', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
chocodude,"['Risk of Rain', 'Magicka', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Terraria']"
76561198058192790,"['Counter-Strike: Global Offensive', 'ARK: Survival Evolved', 'Team Fortress 2', ""Garry's Mod""]"
TempaDick,"['Emily is Away', 'the static speaks my name', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Layers of Fear']"
76561197968205306,"['Borderlands 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust']"
Chopstar1,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198063765495,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
DSvictory,"['No More Room in Hell', 'Team Fortress 2', 'Unturned', 'Counter-Strike: Global Offensive', 'Survival: Postapocalypse Now']"
barcafan835,"['Counter-Strike: Source', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Hand of Fate']"
Chri-SEX-iled,"['Terraria', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
ChrispyCertifiedAustralian,"['Rocket League®', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198017957749,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
HyperionDooM93,"['Counter-Strike: Global Offensive', 'Warframe', 'Borderlands 2', 'Team Fortress 2']"
76561198014580082,"['Warframe', 'Terraria', 'Team Fortress 2', 'Alien Swarm', 'Counter-Strike: Global Offensive']"
chewyi,"['Counter-Strike: Global Offensive', 'Rocket League®', 'Counter-Strike: Source', 'Team Fortress 2']"
Rekoonoftherekoons,"['Unturned', 'Team Fortress 2', 'APB Reloaded', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
cianaatech,"['LEGO® Marvel™ Super Heroes', 'Team Fortress 2', ""Garry's Mod"", 'Left 4 Dead 2', 'Counter-Strike: Global Offensive']"
Phor8,"['Hero Siege', 'Steam Controller', 'NotGTAV', 'Team Fortress 2']"
ciku85,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198091490622,"['Commander Keen', 'Portal 2', 'PAC-MAN™ Championship Edition DX+', 'Word Rescue']"
disizmehprofile,"['Super Hexagon', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
DiamondSwordBeGod,"['Awesomenauts - the 2D moba', 'Soldier Front 2', 'SUPERHOT', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
clashmecha,"[""No Man's Sky"", 'Counter-Strike: Global Offensive', 'Rust', 'Warframe']"
76561198051461196,"['Counter-Strike: Source', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
plskillmenow,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198034463083,"[""Squirt's Adventure"", 'Dragons and Titans', 'Final Rush']"
greenclaweddragon,"['Team Fortress 2', 'Terraria', 'Counter-Strike: Global Offensive']"
76561198065705830,"['Sir, You Are Being Hunted', 'Counter-Strike: Global Offensive', 'PlanetSide 2', 'Team Fortress 2', ""Garry's Mod""]"
cloneninjalol,"['The Walking Dead', 'Team Fortress 2', 'Left 4 Dead 2', 'The Walking Dead: Season 2', 'Terraria']"
michaelbruce,"['Counter-Strike: Global Offensive', 'Rust', 'Loadout', 'Team Fortress 2', ""Garry's Mod""]"
76561198064609857,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198076069088,"['Team Fortress 2', 'Counter-Strike: Global Offensive', 'ARK: Survival Evolved', ""Garry's Mod""]"
76561198072556585,"['Left 4 Dead 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
Slayer-Bld,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198085107888,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
splonkeydonkey,"['Rocket League®', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198047185717,"['Rust', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
codedj,"['RimWorld', ""Sid Meier's Civilization® V"", 'Fallout 4', 'Counter-Strike: Global Offensive', 'Europa Universalis IV']"
76561198041444919,"['DayZ', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust', 'Team Fortress 2']"
76561198019443690,"['Unturned', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198053175659,"['Starbound', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Terraria']"
stingingroger,"['Fallout: New Vegas', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Left 4 Dead 2']"
PotatoMan1,"[""Monaco: What's Yours Is Mine"", 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Team Fortress 2']"
76561198060870618,"['Unturned', 'Heroes &amp; Generals', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198090548578,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561197982665201,"['Life is Strange - Episode 1', 'Gone Home', 'Counter-Strike: Global Offensive']"
Sorefinger,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198096443555,"['Counter-Strike: Global Offensive', 'Rust', 'DayZ', 'Team Fortress 2', ""Garry's Mod""]"
comicalcorn,"['Borderlands 2', 'Saints Row IV', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
16538,"['Dishonored', 'DARK SOULS™ III', 'The Wolf Among Us', 'Tom Clancy’s The Division™', 'Counter-Strike: Global Offensive']"
76561198050243948,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
KetsuKixBunni,"['Left 4 Dead 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
76561198079356698,"['Overgrowth', ""Garry's Mod"", 'The Binding of Isaac', 'Grand Theft Auto V']"
Engurneer,"['Unturned', 'Half-Life 2', 'Portal 2', 'PlanetSide 2', 'Team Fortress 2']"
Fried_Bacon,"['Terraria', 'Borderlands 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
Alzahar,"['Chivalry: Medieval Warfare', 'Red Orchestra 2: Heroes of Stalingrad with Rising Storm', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
_fatlass_,"['Paladins®', 'Awesomenauts - the 2D moba', 'Torchlight II', 'Counter-Strike: Global Offensive']"
CoNnEcT500BR,"['Arma 2: Operation Arrowhead', 'Magicka', 'Counter-Strike: Global Offensive', 'Call to Arms', 'Team Fortress 2']"
Meyjax,"['Killing Floor 2', ""Five Nights at Freddy's 2"", 'Mortal Kombat X', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
Connor5620,"['The Park', 'Puzzle Pirates', '9.03m', 'Probably Archery']"
Azuralis,"['Ragnarok Clicker', 'Puzzle Pirates', ""Squirt's Adventure"", 'Final Rush']"
76561198051976770,"['Killing Floor', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
76561198064532072,"['Terraria', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
MrStealYourGirlZ,"['Realm of the Mad God', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
MehPonys,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
76561198072036519,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198064427658,"['Sanctum 2', 'Borderlands 2', 'PlanetSide 2']"
76561198040900746,"['Left 4 Dead 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
COOKIESCOOKIES123,"['Team Fortress 2', 'XCOM: Enemy Unknown', 'Dungeon Defenders II', 'Counter-Strike: Global Offensive']"
kodiakbear52,"['Borderlands 2', 'Grand Theft Auto V', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198040183690,"['Goat Simulator', 'Team Fortress 2', ""Garry's Mod"", 'Reign Of Kings', 'Counter-Strike: Global Offensive']"
Haydzz,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
76561198074571299,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198075584298,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
coollord,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
zombiehackerbrah,"['Dishonored', 'Metro: Last Light Redux', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
76561198142398530,"['Team Fortress 2', ""Garry's Mod"", 'Unturned', 'Counter-Strike: Global Offensive']"
essex666,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198146831507,"['Heroes &amp; Generals', 'Mount &amp; Blade: Warband', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
aaronaaronaaron,"['Goats on a Bridge', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198038904573,"['Warframe', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
coregetsscores,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198098364705,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
CornBeard,"['Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Borderlands 2', 'Counter-Strike: Source']"
PintoProAlto,"['Team Fortress 2', 'Portal 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198061187428,"['Fallout 4', 'Saints Row: The Third', 'Counter-Strike: Global Offensive', 'Fallout 3: Game of the Year Edition']"
Corporal_Punishment,"['Team Fortress 2', 'Counter-Strike: Global Offensive', 'Kerbal Space Program', ""Garry's Mod""]"
76561198097864769,"['Left 4 Dead', 'Left 4 Dead 2', 'Counter-Strike: Global Offensive', 'PAYDAY™ The Heist', ""Garry's Mod""]"
76561198082142359,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
Aviatorch,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
santa100,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198035005990,"['Antichamber', 'BattleBlock Theater®', 'DARK SOULS™ II: Scholar of the First Sin', 'Life is Strange - Episode 1']"
Ibukismywaifuforlaifu,"['Castle Crashers®', 'Team Fortress 2', ""Garry's Mod"", 'Portal 2', 'Counter-Strike: Global Offensive']"
Bad_Sleeping_Pattern_101,"['Just Cause 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198044664331,"[""Sid Meier's Civilization® V"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
sealbloke,"['Next Car Game: Wreckfest', ""Garry's Mod"", 'Team Fortress Classic', 'Torchlight II', 'Kerbal Space Program']"
723943123,"['Counter-Strike: Global Offensive', 'DayZ', 'Grand Theft Auto V', 'Team Fortress 2']"
76561198095457579,"['Gotham City Impostors Free to Play', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Warframe', ""Garry's Mod""]"
CaptMcMurder,"['Loadout', 'Fistful of Frags', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
76561198050407999,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
crualninja,"['Dinosaur Hunt', 'Fallout 4', 'AirMech Strike', 'Sir, You Are Being Hunted', 'Pixel Piracy']"
PokeyStabbyThing,"['Insurgency', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Team Fortress 2', 'Rust']"
fireawesome,"['Rust', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'DayZ']"
76561198042087397,"['The Binding of Isaac: Rebirth', 'The Binding of Isaac', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Terraria']"
Crafe,"['Realm of the Mad God', 'Prison Architect', 'Hotline Miami', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
chocolate-donut-king,"['Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Unturned']"
76561198057707533,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
HotDogKid47,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
crashsg32hatesspam,"['Goat Simulator', 'Surgeon Simulator', 'Team Fortress 2', 'Poker Night at the Inventory', ""Garry's Mod""]"
76561198068831727,"['Warframe', 'BioShock Infinite', 'BattleBlock Theater®', 'Team Fortress 2', 'BioShock™']"
note551,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198093983570,"['Slender: The Arrival', 'The Mean Greens - Plastic Warfare', 'Counter-Strike: Global Offensive', 'BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien', 'Just Cause 2']"
artem_zhigarev,"['DayZ', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust', 'Team Fortress 2']"
CrazyBones,"['Suits: A Business RPG', 'Borderlands 2', ""Assassin's Creed 2 Deluxe Edition"", 'Receiver', 'Fallout 4']"
76561198073515046,"['Chivalry: Medieval Warfare', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'Unturned']"
76561198007571248,"['AudioSurf', 'Reus', 'Team Fortress 2', ""Garry's Mod"", 'Terraria']"
13971397,"['Grand Theft Auto V', 'The Expendabros', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
CRAZYASIANGAMER1,"['Counter-Strike: Global Offensive', 'Left 4 Dead 2', 'Team Fortress 2', ""Garry's Mod""]"
Dythoras,"['Left 4 Dead 2', ""No Man's Sky"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Call of Duty®: Ghosts']"
76561198045865055,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
CrazyKidGo,"['Team Fortress 2', 'DARK SOULS™: Prepare To Die™ Edition', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198103389855,"['Call of Duty: World at War', 'Killing Floor', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561197983697443,"['Counter-Strike: Global Offensive', 'Team Fortress 2', 'Chivalry: Medieval Warfare', ""Garry's Mod""]"
76561197983633274,"['Natural Selection 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Team Fortress 2']"
76561198080133542,"['Awesomenauts - the 2D moba', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Starbound']"
76561198058177382,"['Always Sometimes Monsters', 'Grandia® II Anniversary Edition', 'Space Trader: Merchant Marine', 'Mad Max', 'Disney Winnie the Pooh']"
76561198095839864,"['Team Fortress 2', 'Terraria', 'Rust', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
mrwillsy,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
Razorleaff,"['Starbound', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
76561198047639654,"['Arma 3', 'Middle-earth™: Shadow of Mordor™', 'Counter-Strike: Global Offensive', 'DayZ']"
76561198092068521,"['Half-Life 2', 'No More Room in Hell', 'Portal', 'Team Fortress 2', ""Garry's Mod""]"
76561198086428888,"['Rust', 'Age of Empires II HD', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
icripsy,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
3046123,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
crixis48,"['Half-Life 2', 'Team Fortress 2', ""Garry's Mod"", 'Kingdom Rush', 'Counter-Strike: Global Offensive']"
76561198028072716,"['Counter-Strike: Global Offensive', 'DayZ', 'Team Fortress 2', 'ARK: Survival Evolved', ""Garry's Mod""]"
76561198088699917,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198048996327,"[""Mirror's Edge™"", 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Left 4 Dead 2', 'Portal 2']"
Crudetasmanian,"['Alpha Protocol™', 'Borderlands 2', 'Mount &amp; Blade: Warband', 'PlanetSide 2']"
n00bsh0t,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561197993847898,"['Outlast', ""Garry's Mod"", 'Killing Floor']"
Cryotechnic68,"['The Escapists', 'MX vs. ATV Reflex', 'Istrolid']"
caffinatedshit,"['Just Cause 2', 'Team Fortress 2', 'Saints Row: The Third', 'Counter-Strike: Global Offensive']"
76561197970523542,"['WARMODE', 'Team Fortress 2', 'Loadout', 'BLOCKADE 3D']"
baeritto,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
76561198080927111,"['Robocraft', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Terraria']"
Makurii,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561197976370569,"['Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™', 'Team Fortress 2', 'Alien: Isolation', 'Borderlands 2']"
76561198043043907,"['SUPERHOT', 'Hurtworld', ""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
76561198087515956,"['Team Fortress 2', 'Warframe', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
ManaGenji,"['TerraTech', 'LUFTRAUSERS', 'Stonehearth', 'Team Fortress 2', 'Battle of Empires : 1914-1918']"
chewintheCUD,"['Super Meat Boy', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Left 4 Dead 2', 'Terraria']"
76561198064663981,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'FTL: Faster Than Light', 'Call of Duty®: Black Ops III']"
Mishman44,"['Left 4 Dead 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
76561198052266063,"['The Elder Scrolls IV: Oblivion® Game of the Year Edition', 'Counter-Strike: Global Offensive', 'Starbound', 'Team Fortress 2', 'Terraria']"
CupcakesArePainful,"['Evolve Stage 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Endless Legend™']"
theartificialchicken,"['PlanetSide 2', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Warframe']"
76561198066876703,"['Warframe', ""No Man's Sky"", 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
curtiits,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'Call of Duty®: Black Ops III']"
76561198025628522,"['Fallout 4', 'The Walking Dead', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
deathbyFIREWORKS,"['Borderlands 2', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust']"
76561198127261950,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
Endless_Funn,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
BestCyanide,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
cybas101,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198077828707,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198200007842,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
CheeZeIzLuv,"['Team Fortress 2', 'Borderlands 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Counter-Strike: Source']"
76561198071333155,"['Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust', 'DayZ']"
scyana4,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198010871424,"['Banished', 'Dead In Bermuda', 'Tomb Raider', 'DayZ']"
76561198029595343,"['Project Zomboid', 'DayZ', 'Unturned', 'Heroes &amp; Generals']"
cyroth,"['The Walking Dead', 'Alien: Isolation', 'Team Fortress 2', 'Among the Sleep - Enhanced Edition']"
Cystrade,"['Robocraft', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Terraria']"
czarplays,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198073775164,"['Terraria', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198098156317,"['Unturned', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
catdownstairz,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
SpookyTheNotCuteGhost,"[""Garry's Mod"", 'Grand Theft Auto V', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned']"
d00dlebanger,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
hobostan,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
